index,batch_count,total,duplicates_count,model,updated_time
1,5,113,5,ollama-llama3.2:3b,2026-03-10 22:39:09
2,5,113,5,ollama-llama3.2:3b,2026-03-10 22:40:17
3,5,113,5,ollama-llama3.2:3b,2026-03-10 22:41:50
4,5,113,2,ollama-llama3.2:3b,2026-03-10 22:44:09
